relationship_id,vintage_id,supersedes_id,from_entity_id,from_security_id,to_entity_id,to_security_id,relationship_type,product,valid_from,valid_to,confidence_tier,alpha_feature_eligible,propagation_weight,weight_basis,economic_exposure_known,source_id,source_locator
REL001,V1,,ENTITY_MU,SEC_US_MU,ENTITY_NVDA,SEC_US_NVDA,supplier_to,HBM3E_for_H200,2024-02-26,,confirmed,true,0.25,registered_uniform_topological,false,SRC003,Paragraph naming NVIDIA H200 Tensor Core GPUs
REL002,V1,,ENTITY_MU,SEC_US_MU,ENTITY_NVDA,SEC_US_NVDA,supplier_to,HBM3E_12H_for_GB300,2025-03-18,,confirmed,true,0.25,registered_uniform_topological,false,SRC013,HBM3E 12-high paragraph naming NVIDIA GB300
